district,state,year,flood_events,area_affected_ha,people_affected,damage_cr
Bhandara,Maharashtra,2020,3,19272,60561,51
Bhandara,Maharashtra,2021,3,19979,46830,133
Bhandara,Maharashtra,2022,2,15132,46505,211
Bhandara,Maharashtra,2023,2,11341,17895,212
Bhandara,Maharashtra,2024,5,7674,43085,345
Buldhana,Maharashtra,2015,2,7273,58490,359
Buldhana,Maharashtra,2016,4,5147,11725,290
Buldhana,Maharashtra,2017,3,10678,35132,290
Buldhana,Maharashtra,2018,5,18609,62053,377
Buldhana,Maharashtra,2019,2,10599,29873,317
Buldhana,Maharashtra,2020,4,3496,18392,131
Buldhana,Maharashtra,2021,5,4402,49487,65
Buldhana,Maharashtra,2022,3,18491,60804,268
Buldhana,Maharashtra,2023,4,17569,27583,237
Buldhana,Maharashtra,2024,1,4175,27821,303
Chandrapur,Maharashtra,2015,5,7240,59801,245
Chandrapur,Maharashtra,2016,4,5788,35670,177
Chandrapur,Maharashtra,2017,2,12562,11181,335
Chandrapur,Maharashtra,2018,4,7244,10102,154
Chandrapur,Maharashtra,2019,2,13213,34649,305
Chandrapur,Maharashtra,2020,4,17194,48871,213
Chandrapur,Maharashtra,2021,2,5535,55094,363
Chandrapur,Maharashtra,2022,4,13662,24073,228
Chandrapur,Maharashtra,2023,2,12409,11468,289
Chandrapur,Maharashtra,2024,1,16146,61217,58
Chhatrapati Sambhajinagar,Maharashtra,2015,2,4280,42925,60
Chhatrapati Sambhajinagar,Maharashtra,2016,4,8803,76643,293
Chhatrapati Sambhajinagar,Maharashtra,2017,4,17774,39969,146
Chhatrapati Sambhajinagar,Maharashtra,2018,3,4398,20716,190
Chhatrapati Sambhajinagar,Maharashtra,2019,4,12190,17126,349
Chhatrapati Sambhajinagar,Maharashtra,2020,2,8408,72209,223
Chhatrapati Sambhajinagar,Maharashtra,2021,4,16641,19641,61
Chhatrapati Sambhajinagar,Maharashtra,2022,4,11017,70317,63
Chhatrapati Sambhajinagar,Maharashtra,2023,2,16227,60154,366
Chhatrapati Sambhajinagar,Maharashtra,2024,4,17857,19361,58
Dharashiv,Maharashtra,2015,1,3003,64658,203
Dharashiv,Maharashtra,2016,3,8777,36417,250
Dharashiv,Maharashtra,2017,4,4884,55261,172
Dharashiv,Maharashtra,2018,4,10497,52989,283
Dharashiv,Maharashtra,2019,5,7979,24715,285
Dharashiv,Maharashtra,2020,5,19904,73634,381
Dharashiv,Maharashtra,2021,2,7350,19522,202
Dharashiv,Maharashtra,2022,2,12582,48337,282
Dharashiv,Maharashtra,2023,5,9868,22887,183
Dharashiv,Maharashtra,2024,2,14273,53571,391
Dhule,Maharashtra,2015,4,11814,79354,391
Dhule,Maharashtra,2016,3,7672,60022,55
Dhule,Maharashtra,2017,3,18811,45920,379
Dhule,Maharashtra,2018,4,10459,10218,388
Dhule,Maharashtra,2019,5,7761,67678,238
Dhule,Maharashtra,2020,2,14130,37558,80
Dhule,Maharashtra,2021,5,9541,19779,312
Dhule,Maharashtra,2022,3,16258,21449,59
Dhule,Maharashtra,2023,1,19676,39261,96
Dhule,Maharashtra,2024,4,17540,24749,388
Gadchiroli,Maharashtra,2015,1,19980,43340,102
Gadchiroli,Maharashtra,2016,4,17073,42288,388
Gadchiroli,Maharashtra,2017,2,11777,33394,121
Gadchiroli,Maharashtra,2018,2,11737,10048,139
Gadchiroli,Maharashtra,2019,5,18769,66717,224
Gadchiroli,Maharashtra,2020,1,18851,36354,184
Gadchiroli,Maharashtra,2021,4,8332,49257,199
Gadchiroli,Maharashtra,2022,2,7607,79905,381
Gadchiroli,Maharashtra,2023,1,11962,42357,377
Gadchiroli,Maharashtra,2024,1,18706,52819,226
Gondia,Maharashtra,2015,5,10324,66385,109
Gondia,Maharashtra,2016,1,7513,23320,355
Gondia,Maharashtra,2017,1,12296,58979,380
Gondia,Maharashtra,2018,5,7783,36763,350
Gondia,Maharashtra,2019,2,11073,28539,78
Gondia,Maharashtra,2020,2,19130,20581,395
Gondia,Maharashtra,2021,1,13699,68994,89
Gondia,Maharashtra,2022,4,10036,62795,152
Gondia,Maharashtra,2023,5,4060,47129,150
Gondia,Maharashtra,2024,4,12739,38910,386
Hingoli,Maharashtra,2015,2,14681,25987,127
Hingoli,Maharashtra,2016,3,3046,73652,111
Hingoli,Maharashtra,2017,3,18092,43350,207
Hingoli,Maharashtra,2018,2,16792,11003,207
Hingoli,Maharashtra,2019,2,8499,37183,209
Hingoli,Maharashtra,2020,1,17481,69409,397
Hingoli,Maharashtra,2021,1,15732,47050,361
Hingoli,Maharashtra,2022,3,18015,23946,138
Hingoli,Maharashtra,2023,2,12836,71440,112
Hingoli,Maharashtra,2024,3,16895,30481,137
Jalgaon,Maharashtra,2015,2,8019,62689,328
Jalgaon,Maharashtra,2016,5,10743,58231,250
Jalgaon,Maharashtra,2017,3,16297,55062,109
Jalgaon,Maharashtra,2018,5,4326,16218,153
Jalgaon,Maharashtra,2019,4,19286,49887,229
Jalgaon,Maharashtra,2020,5,17121,36066,398
Jalgaon,Maharashtra,2021,1,7740,45210,156
Jalgaon,Maharashtra,2022,1,17286,42652,223
Jalgaon,Maharashtra,2023,4,17261,25681,388
Jalgaon,Maharashtra,2024,1,5003,18895,336
Jalna,Maharashtra,2015,2,10889,43901,170
Jalna,Maharashtra,2016,5,13682,31398,265
Jalna,Maharashtra,2017,4,10614,71675,72
Jalna,Maharashtra,2018,4,18412,11747,296
Jalna,Maharashtra,2019,3,8507,24644,227
Jalna,Maharashtra,2020,4,4444,54821,213
Jalna,Maharashtra,2021,5,9483,36794,158
Jalna,Maharashtra,2022,4,3978,23695,167
Jalna,Maharashtra,2023,5,16049,64958,339
Jalna,Maharashtra,2024,2,15247,34688,121
Kolhapur,Maharashtra,2015,5,14477,36771,265
Kolhapur,Maharashtra,2016,3,11832,71522,289
Kolhapur,Maharashtra,2017,4,10739,65207,221
Kolhapur,Maharashtra,2018,5,17084,16183,383
Kolhapur,Maharashtra,2019,2,13913,38958,82
Kolhapur,Maharashtra,2020,5,6441,40770,262
Kolhapur,Maharashtra,2021,5,5166,14255,272
Kolhapur,Maharashtra,2022,1,12583,34811,84
Kolhapur,Maharashtra,2023,1,3746,37200,174
Kolhapur,Maharashtra,2024,5,4525,31494,316
Latur,Maharashtra,2015,1,4964,36462,102
Latur,Maharashtra,2016,5,18372,71207,187
Latur,Maharashtra,2017,1,11184,50749,283
Latur,Maharashtra,2018,1,15967,18400,84
Latur,Maharashtra,2019,4,8988,32365,262
Latur,Maharashtra,2020,5,7676,37999,367
Latur,Maharashtra,2021,1,7931,49136,277
Latur,Maharashtra,2022,2,18567,23366,191
Latur,Maharashtra,2023,2,10711,21867,145
Latur,Maharashtra,2024,1,17454,76924,232
Mumbai,Maharashtra,2015,4,3989,18476,178
Mumbai,Maharashtra,2016,5,15067,48232,356
Mumbai,Maharashtra,2017,3,17803,66113,334
Mumbai,Maharashtra,2018,4,16591,76626,167
Mumbai,Maharashtra,2019,1,11585,22490,385
Mumbai,Maharashtra,2020,5,7654,64120,278
Mumbai,Maharashtra,2021,2,10101,69821,329
Mumbai,Maharashtra,2022,3,9456,69731,343
Mumbai,Maharashtra,2023,4,3619,39133,269
Mumbai,Maharashtra,2024,1,3375,18916,342
Mumbai Suburban,Maharashtra,2015,1,15619,10002,384
Mumbai Suburban,Maharashtra,2016,2,9104,10882,239
Mumbai Suburban,Maharashtra,2017,4,19459,51894,227
Mumbai Suburban,Maharashtra,2018,1,17139,40849,139
Mumbai Suburban,Maharashtra,2019,2,16399,77086,291
Mumbai Suburban,Maharashtra,2020,1,11590,10735,262
Mumbai Suburban,Maharashtra,2021,2,10630,22596,342
Mumbai Suburban,Maharashtra,2022,2,9249,79991,249
Mumbai Suburban,Maharashtra,2023,3,3993,53259,287
Mumbai Suburban,Maharashtra,2024,4,13004,59731,318
Nagpur,Maharashtra,2015,1,5181,15651,283
Nagpur,Maharashtra,2016,3,9765,57658,195
Nagpur,Maharashtra,2017,4,5212,32008,325
Nagpur,Maharashtra,2018,3,13068,52358,220
Nagpur,Maharashtra,2019,4,18798,31759,131
Nagpur,Maharashtra,2020,4,18154,60765,368
Nagpur,Maharashtra,2021,5,10327,22022,106
Nagpur,Maharashtra,2022,4,7663,30509,293
Nagpur,Maharashtra,2023,5,11872,57999,165
Nagpur,Maharashtra,2024,4,17405,57818,394
Nanded,Maharashtra,2015,3,19163,17029,276
Nanded,Maharashtra,2016,5,16719,37781,221
Nanded,Maharashtra,2017,1,5465,23103,55
Nanded,Maharashtra,2018,4,4847,36166,112
Nanded,Maharashtra,2019,1,17473,60058,328
Nanded,Maharashtra,2020,5,8612,63375,251
Nanded,Maharashtra,2021,5,4686,51367,92
Nanded,Maharashtra,2022,1,3955,62218,200
Nanded,Maharashtra,2023,3,18548,67998,308
Nanded,Maharashtra,2024,4,19454,44026,273
Nandurbar,Maharashtra,2015,1,12065,37953,128
Nandurbar,Maharashtra,2016,2,18494,44021,68
Nandurbar,Maharashtra,2017,4,13127,61520,332
Nandurbar,Maharashtra,2018,5,19270,62846,372
Nandurbar,Maharashtra,2019,4,7694,70992,337
Nandurbar,Maharashtra,2020,5,17359,74331,194
Nandurbar,Maharashtra,2021,4,13982,38923,181
Nandurbar,Maharashtra,2022,5,10039,68391,354
Nandurbar,Maharashtra,2023,1,5799,47410,362
Nandurbar,Maharashtra,2024,1,10364,55041,325
Nashik,Maharashtra,2015,1,19511,58694,310
Nashik,Maharashtra,2016,4,16390,50668,152
Nashik,Maharashtra,2017,1,9585,14484,181
Nashik,Maharashtra,2018,2,9066,60869,248
Nashik,Maharashtra,2019,3,7555,59145,264
Nashik,Maharashtra,2020,5,5786,25257,385
Nashik,Maharashtra,2021,1,7626,33902,400
Nashik,Maharashtra,2022,4,6459,68822,384
Nashik,Maharashtra,2023,3,5949,32695,270
Nashik,Maharashtra,2024,4,7515,68007,55
Palghar,Maharashtra,2015,2,8888,33381,212
Palghar,Maharashtra,2016,4,18122,70801,368
Palghar,Maharashtra,2017,5,3430,45920,206
Palghar,Maharashtra,2018,5,17535,27809,58
Palghar,Maharashtra,2019,4,16899,74302,312
Palghar,Maharashtra,2020,5,12563,16398,69
Palghar,Maharashtra,2021,5,4425,32588,365
Palghar,Maharashtra,2022,2,13367,58947,363
Palghar,Maharashtra,2023,5,9963,31621,290
Palghar,Maharashtra,2024,2,15180,56261,248
Parbhani,Maharashtra,2015,1,7969,17540,377
Parbhani,Maharashtra,2016,2,9898,78565,120
Parbhani,Maharashtra,2017,4,10552,19735,252
Parbhani,Maharashtra,2018,3,4383,46917,104
Parbhani,Maharashtra,2019,5,17814,32567,282
Parbhani,Maharashtra,2020,2,18633,32868,264
Parbhani,Maharashtra,2021,2,8355,30654,325
Parbhani,Maharashtra,2022,4,3136,28705,315
Parbhani,Maharashtra,2023,3,13410,79508,295
Parbhani,Maharashtra,2024,2,4075,37761,220
Pune,Maharashtra,2015,5,5483,28207,123
Pune,Maharashtra,2016,1,14229,59295,233
Pune,Maharashtra,2017,2,12783,51356,160
Pune,Maharashtra,2018,2,16780,13082,124
Pune,Maharashtra,2019,4,17899,22968,125
Pune,Maharashtra,2020,5,19710,46505,304
Pune,Maharashtra,2021,4,7243,77101,311
Pune,Maharashtra,2022,3,8358,11503,169
Pune,Maharashtra,2023,1,17409,79227,280
Pune,Maharashtra,2024,4,5981,41987,310
Raigad,Maharashtra,2015,5,18564,32911,74
Raigad,Maharashtra,2016,4,19553,49962,187
Raigad,Maharashtra,2017,4,17859,61267,134
Raigad,Maharashtra,2018,5,14363,47764,69
Raigad,Maharashtra,2019,1,15984,75868,105
Raigad,Maharashtra,2020,2,4305,72552,153
Raigad,Maharashtra,2021,4,4601,19574,273
Raigad,Maharashtra,2022,1,18337,62367,247
Raigad,Maharashtra,2023,5,19801,69702,204
Raigad,Maharashtra,2024,3,15859,67399,143
Ratnagiri,Maharashtra,2015,2,13172,72455,247
Ratnagiri,Maharashtra,2016,4,9426,78445,177
Ratnagiri,Maharashtra,2017,3,3614,18671,157
Ratnagiri,Maharashtra,2018,3,19809,79900,250
Ratnagiri,Maharashtra,2019,5,11938,54830,83
Ratnagiri,Maharashtra,2020,3,6353,68324,96
Ratnagiri,Maharashtra,2021,5,15046,10231,390
Ratnagiri,Maharashtra,2022,2,14531,56282,80
Ratnagiri,Maharashtra,2023,4,12486,39511,382
Ratnagiri,Maharashtra,2024,1,10578,41631,325
Sangli,Maharashtra,2015,1,3031,70099,193
Sangli,Maharashtra,2016,2,16078,75832,360
Sangli,Maharashtra,2017,1,18793,63921,331
Sangli,Maharashtra,2018,5,19616,55513,148
Sangli,Maharashtra,2019,2,14825,45649,101
Sangli,Maharashtra,2020,2,10396,61529,71
Sangli,Maharashtra,2021,2,10662,49932,151
Sangli,Maharashtra,2022,5,16801,33863,308
Sangli,Maharashtra,2023,5,3729,61748,223
Sangli,Maharashtra,2024,1,4583,71209,308
Satara,Maharashtra,2015,2,3435,29616,337
Satara,Maharashtra,2016,4,14240,42762,397
Satara,Maharashtra,2017,3,18955,54671,84
Satara,Maharashtra,2018,2,5690,14251,373
Satara,Maharashtra,2019,1,3951,19238,358
Satara,Maharashtra,2020,5,8519,21327,356
Satara,Maharashtra,2021,3,18368,49448,171
Satara,Maharashtra,2022,3,19099,65575,322
Satara,Maharashtra,2023,5,12485,18314,157
Satara,Maharashtra,2024,4,10022,17641,183
Sindhudurg,Maharashtra,2015,5,11053,41654,107
Sindhudurg,Maharashtra,2016,3,3324,76705,62
Sindhudurg,Maharashtra,2017,2,16204,63501,156
Sindhudurg,Maharashtra,2018,4,3710,71968,75
Sindhudurg,Maharashtra,2019,3,17689,36752,292
Sindhudurg,Maharashtra,2020,2,18384,60231,227
Sindhudurg,Maharashtra,2021,5,14935,78720,187
Sindhudurg,Maharashtra,2022,2,8036,76864,376
Sindhudurg,Maharashtra,2023,4,9606,66535,229
Sindhudurg,Maharashtra,2024,4,7708,71569,322
Solapur,Maharashtra,2015,4,6033,14918,235
Solapur,Maharashtra,2016,5,12693,39523,326
Solapur,Maharashtra,2017,2,19962,67120,373
Solapur,Maharashtra,2018,1,8764,25392,131
Solapur,Maharashtra,2019,3,16594,38140,286
Solapur,Maharashtra,2020,5,14304,13397,74
Solapur,Maharashtra,2021,5,14785,53153,374
Solapur,Maharashtra,2022,3,8298,22067,390
Solapur,Maharashtra,2023,5,17175,16011,112
Solapur,Maharashtra,2024,1,5569,72012,61
Thane,Maharashtra,2015,1,13410,60376,103
Thane,Maharashtra,2016,4,18490,32074,307
Thane,Maharashtra,2017,4,19089,29017,335
Thane,Maharashtra,2018,3,8360,68206,297
Thane,Maharashtra,2019,2,10296,47093,104
Thane,Maharashtra,2020,4,16731,71836,160
Thane,Maharashtra,2021,4,16153,34976,160
Thane,Maharashtra,2022,5,13074,29406,364
Thane,Maharashtra,2023,5,13162,65646,187
Thane,Maharashtra,2024,2,4263,51278,319
Wardha,Maharashtra,2015,5,10550,57794,224
Wardha,Maharashtra,2016,4,14191,45714,299
Wardha,Maharashtra,2017,1,5984,31090,123
Wardha,Maharashtra,2018,5,16580,72977,207
Wardha,Maharashtra,2019,1,14336,27654,135
Wardha,Maharashtra,2020,5,18880,32992,160
Wardha,Maharashtra,2021,4,10844,65803,53
Wardha,Maharashtra,2022,4,18561,61413,151
Wardha,Maharashtra,2023,1,11394,54584,326
Wardha,Maharashtra,2024,5,12871,76799,106
Bishnupur,Manipur,2015,7,10644,163538,331
Bishnupur,Manipur,2016,3,33950,190234,720
Bishnupur,Manipur,2017,7,11371,74586,789
Bishnupur,Manipur,2018,9,17993,88602,511
Bishnupur,Manipur,2019,6,37926,68989,936
Bishnupur,Manipur,2020,6,14629,57665,179
Bishnupur,Manipur,2021,4,15150,156243,294
Bishnupur,Manipur,2022,3,25885,66201,875
Bishnupur,Manipur,2023,4,19964,152268,983
Bishnupur,Manipur,2024,5,43625,192532,358
Chandel,Manipur,2015,3,19700,127659,211
Chandel,Manipur,2016,4,29940,168611,532
Chandel,Manipur,2017,9,30296,109398,208
Chandel,Manipur,2018,9,43460,183784,945
Chandel,Manipur,2019,6,18717,134888,308
Chandel,Manipur,2020,5,44239,132364,521
Chandel,Manipur,2021,6,28919,149366,817
Chandel,Manipur,2022,8,47477,74679,278
Chandel,Manipur,2023,9,16124,184335,591
Chandel,Manipur,2024,5,11235,61797,901
Churachandpur,Manipur,2015,6,12024,125724,376
Churachandpur,Manipur,2016,4,13373,52387,389
Churachandpur,Manipur,2017,3,17112,108932,658
Churachandpur,Manipur,2018,7,39971,189513,419
Churachandpur,Manipur,2019,7,47653,182030,908
Churachandpur,Manipur,2020,9,31010,168287,936
Churachandpur,Manipur,2021,9,45113,119359,901
Churachandpur,Manipur,2022,7,10361,87004,785
Churachandpur,Manipur,2023,3,26814,198791,372
Churachandpur,Manipur,2024,4,39999,197167,622
Imphal East,Manipur,2015,7,21008,152488,983
Imphal East,Manipur,2016,4,30851,74165,337
Imphal East,Manipur,2017,3,25600,137470,207
Imphal East,Manipur,2018,9,36332,138761,590
Imphal East,Manipur,2019,3,20266,168615,873
Imphal East,Manipur,2020,8,17652,60889,510
Imphal East,Manipur,2021,7,19031,141813,292
Imphal East,Manipur,2022,6,28843,199305,932
Imphal East,Manipur,2023,5,40596,174591,209
Imphal East,Manipur,2024,7,43829,153524,472
Imphal West,Manipur,2015,4,28830,190488,475
Imphal West,Manipur,2016,9,31345,86858,683
Imphal West,Manipur,2017,8,17873,71154,728
Imphal West,Manipur,2018,4,34242,133551,744
Imphal West,Manipur,2019,8,44446,160816,217
Imphal West,Manipur,2020,7,19175,185067,775
Imphal West,Manipur,2021,3,12440,182251,627
Imphal West,Manipur,2022,9,48512,193039,174
Imphal West,Manipur,2023,9,39203,186480,323
Imphal West,Manipur,2024,6,13044,162160,707
Jiribam,Manipur,2015,3,33776,134551,492
Jiribam,Manipur,2016,3,37415,88508,694
Jiribam,Manipur,2017,7,31119,97324,668
Jiribam,Manipur,2018,5,48739,84201,934
Jiribam,Manipur,2019,8,43270,170369,170
Jiribam,Manipur,2020,3,40480,85938,961
Jiribam,Manipur,2021,9,19390,71440,508
Jiribam,Manipur,2022,3,37484,122196,382
Jiribam,Manipur,2023,9,11323,187408,764
Jiribam,Manipur,2024,3,35748,141559,544
Kakching,Manipur,2015,5,32753,120309,480
Kakching,Manipur,2016,5,38566,156261,153
Kakching,Manipur,2017,8,29021,108555,710
Kakching,Manipur,2018,7,31258,70716,197
Kakching,Manipur,2019,4,36348,126161,535
Kakching,Manipur,2020,4,20987,149603,170
Kakching,Manipur,2021,7,35937,191651,529
Kakching,Manipur,2022,8,22855,64024,905
Kakching,Manipur,2023,5,33422,107241,295
Kakching,Manipur,2024,9,30924,168741,726
Kamjong,Manipur,2015,9,29670,94239,681
Kamjong,Manipur,2016,8,14908,104822,696
Kamjong,Manipur,2017,9,18049,133573,155
Kamjong,Manipur,2018,6,14438,180938,890
Kamjong,Manipur,2019,3,43373,133364,562
Kamjong,Manipur,2020,4,49835,131241,680
Kamjong,Manipur,2021,5,32107,146304,470
Kamjong,Manipur,2022,9,20592,53864,422
Kamjong,Manipur,2023,5,33739,94335,378
Kamjong,Manipur,2024,3,49758,64518,445
Kangpokpi,Manipur,2015,7,16901,65102,492
Kangpokpi,Manipur,2016,5,22585,131490,921
Kangpokpi,Manipur,2017,5,25170,167869,617
Kangpokpi,Manipur,2018,8,26183,67785,381
Kangpokpi,Manipur,2019,3,13761,130061,523
Kangpokpi,Manipur,2020,5,28565,122000,765
Kangpokpi,Manipur,2021,6,33778,153151,795
Kangpokpi,Manipur,2022,5,22970,59217,621
Kangpokpi,Manipur,2023,9,46129,148940,259
Kangpokpi,Manipur,2024,8,38654,109386,941
Noney,Manipur,2015,4,23918,159648,840
Noney,Manipur,2016,4,32038,141107,356
Noney,Manipur,2017,3,11622,100102,789
Noney,Manipur,2018,3,30072,165435,761
Noney,Manipur,2019,9,44422,63068,506
Noney,Manipur,2020,7,19982,96067,704
Noney,Manipur,2021,6,45292,196799,304
Noney,Manipur,2022,9,44777,198747,598
Noney,Manipur,2023,4,46907,105302,201
Noney,Manipur,2024,4,24140,86270,926
Pherzawl,Manipur,2015,8,35577,136546,796
Pherzawl,Manipur,2016,9,34369,119167,193
Pherzawl,Manipur,2017,7,24894,180720,686
Pherzawl,Manipur,2018,6,44656,93603,583
Pherzawl,Manipur,2019,7,22645,180891,337
Pherzawl,Manipur,2020,3,15958,54946,351
Pherzawl,Manipur,2021,5,37350,193480,488
Pherzawl,Manipur,2022,7,16706,137102,712
Pherzawl,Manipur,2023,6,39342,101729,877
Pherzawl,Manipur,2024,6,45701,150800,755
Senapati,Manipur,2015,5,17355,119091,539
Senapati,Manipur,2016,3,15688,101764,801
Senapati,Manipur,2017,9,45710,175711,262
Senapati,Manipur,2018,4,36076,184469,944
Senapati,Manipur,2019,3,17295,90662,504
Senapati,Manipur,2020,8,42947,187366,892
Senapati,Manipur,2021,5,15923,173865,549
Senapati,Manipur,2022,5,49753,137554,933
Senapati,Manipur,2023,8,40666,140991,547
Senapati,Manipur,2024,7,43666,81292,255
Tamenglong,Manipur,2015,5,49630,117088,604
Tamenglong,Manipur,2016,5,20767,129926,699
Tamenglong,Manipur,2017,7,24426,83975,461
Tamenglong,Manipur,2018,4,35662,159244,600
Tamenglong,Manipur,2019,7,11629,131012,215
Tamenglong,Manipur,2020,9,25223,55888,528
Tamenglong,Manipur,2021,6,41395,55546,324
Tamenglong,Manipur,2022,4,46469,61882,355
Tamenglong,Manipur,2023,6,30157,58691,921
Tamenglong,Manipur,2024,7,10558,65119,291
Tengnoupal,Manipur,2015,4,38119,61416,271
Tengnoupal,Manipur,2016,4,41397,165488,561
Tengnoupal,Manipur,2017,9,17589,155617,892
Tengnoupal,Manipur,2018,8,44023,137180,526
Tengnoupal,Manipur,2019,4,37713,195407,347
Tengnoupal,Manipur,2020,8,19001,61343,455
Tengnoupal,Manipur,2021,9,30881,187013,497
Tengnoupal,Manipur,2022,5,25224,62330,155
Tengnoupal,Manipur,2023,8,46840,83772,528
Tengnoupal,Manipur,2024,7,37145,85462,323
Thoubal,Manipur,2015,5,11124,54251,177
Thoubal,Manipur,2016,3,26056,187978,420
Thoubal,Manipur,2017,3,19296,108913,275
Thoubal,Manipur,2018,7,43370,85156,728
Thoubal,Manipur,2019,9,40128,182982,685
Thoubal,Manipur,2020,3,47129,84640,298
Thoubal,Manipur,2021,9,31890,143285,425
Thoubal,Manipur,2022,7,32023,193192,423
Thoubal,Manipur,2023,7,46120,56770,642
Thoubal,Manipur,2024,9,42971,190118,389
Ukhrul,Manipur,2015,6,23460,72536,150
Ukhrul,Manipur,2016,8,35999,126074,950
Ukhrul,Manipur,2017,7,38029,73618,697
Ukhrul,Manipur,2018,6,26518,160056,763
Ukhrul,Manipur,2019,6,17594,55750,767
Ukhrul,Manipur,2020,7,35504,164202,932
Ukhrul,Manipur,2021,3,39823,134741,328
Ukhrul,Manipur,2022,9,42693,51171,205
Ukhrul,Manipur,2023,5,27710,82669,715
Ukhrul,Manipur,2024,3,40231,56306,504
East Garo Hills,Meghalaya,2015,8,34895,55026,296
East Garo Hills,Meghalaya,2016,7,15936,63103,813
East Garo Hills,Meghalaya,2017,4,23247,148850,686
East Garo Hills,Meghalaya,2018,7,37631,156994,151
East Garo Hills,Meghalaya,2019,5,30922,105867,711
East Garo Hills,Meghalaya,2020,6,44148,79133,170
East Garo Hills,Meghalaya,2021,5,44036,146669,637
East Garo Hills,Meghalaya,2022,8,32735,175552,971
East Garo Hills,Meghalaya,2023,4,28721,64762,940
East Garo Hills,Meghalaya,2024,8,10212,95289,264
East Jaintia Hills,Meghalaya,2015,8,38231,143582,790
East Jaintia Hills,Meghalaya,2016,3,25987,178959,573
East Jaintia Hills,Meghalaya,2017,5,47896,148002,735
East Jaintia Hills,Meghalaya,2018,7,36420,76036,277
East Jaintia Hills,Meghalaya,2019,9,46423,171944,168
East Jaintia Hills,Meghalaya,2020,6,10219,149985,543
East Jaintia Hills,Meghalaya,2021,5,47622,154883,285
East Jaintia Hills,Meghalaya,2022,4,48257,52146,564
East Jaintia Hills,Meghalaya,2023,3,46437,133408,270
East Jaintia Hills,Meghalaya,2024,3,38580,197653,225
East Khasi Hills,Meghalaya,2015,8,21467,148523,550
East Khasi Hills,Meghalaya,2016,8,28870,187842,357
East Khasi Hills,Meghalaya,2017,3,23626,100652,735
East Khasi Hills,Meghalaya,2018,7,23126,168760,536
East Khasi Hills,Meghalaya,2019,4,43509,91092,850
East Khasi Hills,Meghalaya,2020,9,31114,103466,927
East Khasi Hills,Meghalaya,2021,9,49094,131971,629
East Khasi Hills,Meghalaya,2022,4,34110,173909,826
East Khasi Hills,Meghalaya,2023,4,23718,83404,661
East Khasi Hills,Meghalaya,2024,7,17247,78956,898
Eastern West Khasi Hills,Meghalaya,2015,3,37957,173014,678
Eastern West Khasi Hills,Meghalaya,2016,8,18669,126517,354
Eastern West Khasi Hills,Meghalaya,2017,3,29706,177057,984
Eastern West Khasi Hills,Meghalaya,2018,6,26820,57288,727
Eastern West Khasi Hills,Meghalaya,2019,5,46219,186558,901
Eastern West Khasi Hills,Meghalaya,2020,6,15731,171055,160
Eastern West Khasi Hills,Meghalaya,2021,8,43671,68796,818
Eastern West Khasi Hills,Meghalaya,2022,6,28368,59198,583
Eastern West Khasi Hills,Meghalaya,2023,7,16112,62408,504
Eastern West Khasi Hills,Meghalaya,2024,4,24333,64933,566
North Garo Hills,Meghalaya,2015,9,21609,190911,782
North Garo Hills,Meghalaya,2016,8,12423,143772,965
North Garo Hills,Meghalaya,2017,6,33448,150161,713
North Garo Hills,Meghalaya,2018,8,12512,182293,469
North Garo Hills,Meghalaya,2019,8,12947,64903,932
North Garo Hills,Meghalaya,2020,6,17854,87113,279
North Garo Hills,Meghalaya,2021,8,23703,146769,251
North Garo Hills,Meghalaya,2022,8,27379,116354,932
North Garo Hills,Meghalaya,2023,4,11317,187740,392
North Garo Hills,Meghalaya,2024,5,45032,99114,180
Ri Bhoi,Meghalaya,2015,4,39720,128771,649
Ri Bhoi,Meghalaya,2016,3,14932,61401,504
Ri Bhoi,Meghalaya,2017,8,29182,125531,622
Ri Bhoi,Meghalaya,2018,9,39992,119340,404
Ri Bhoi,Meghalaya,2019,4,49303,132827,883
Ri Bhoi,Meghalaya,2020,9,49555,97235,454
Ri Bhoi,Meghalaya,2021,3,24443,91791,777
Ri Bhoi,Meghalaya,2022,4,26882,131717,400
Ri Bhoi,Meghalaya,2023,9,30973,71423,735
Ri Bhoi,Meghalaya,2024,8,35826,140776,151
South Garo Hills,Meghalaya,2015,6,49478,176931,305
South Garo Hills,Meghalaya,2016,4,11427,116159,904
South Garo Hills,Meghalaya,2017,3,14083,153705,246
South Garo Hills,Meghalaya,2018,3,18573,133326,548
South Garo Hills,Meghalaya,2019,4,20146,145527,810
South Garo Hills,Meghalaya,2020,4,33292,115962,438
South Garo Hills,Meghalaya,2021,7,47839,111523,249
South Garo Hills,Meghalaya,2022,3,45205,168514,266
South Garo Hills,Meghalaya,2023,4,22638,146129,244
South Garo Hills,Meghalaya,2024,5,45500,111565,633
South West Garo Hills,Meghalaya,2015,8,18187,83524,895
South West Garo Hills,Meghalaya,2016,9,12580,85746,834
South West Garo Hills,Meghalaya,2017,5,33305,79322,282
South West Garo Hills,Meghalaya,2018,4,12469,71620,992
South West Garo Hills,Meghalaya,2019,9,11226,102374,246
South West Garo Hills,Meghalaya,2020,7,31114,93530,527
South West Garo Hills,Meghalaya,2021,9,41445,113620,921
South West Garo Hills,Meghalaya,2022,9,27996,139128,285
South West Garo Hills,Meghalaya,2023,9,42423,186302,334
South West Garo Hills,Meghalaya,2024,5,43219,139240,250
